,数量,讯飞 wer,讯飞 acc,qwen3-asr-0.6b baseline wer,qwen3-asr-0.6b baseline acc
Total,892,3.46,90.81,8.92,73.21
carControl,349,2.58,90.83,6.96,80.52
navi,153,4.05,86.93,8.1,69.28
media,89,4.77,91.01,12.61,66.29
unknown,81,3.39,87.65,17.8,51.85
generalControl,55,1.09,98.18,10.93,80.0
lifeService,49,10.82,91.84,6.94,73.47
appPageControl,41,0.0,100.0,13.9,70.73
phone,18,7.48,83.33,9.35,50.0
autoPilot,16,0.0,100.0,2.83,87.5
carKnowledge,13,1.27,84.62,6.29,76.92
mediaControl,8,3.45,87.5,17.24,62.5
carControl;carControl,8,0.0,100.0,0.0,100.0
appPageControl;media,3,0.0,100.0,7.69,66.67
carControl;appPageControl,2,0.0,100.0,10.0,50.0
sceneArrangement,2,0.0,100.0,0.0,100.0
carControl;carControl;carControl,2,0.0,100.0,0.0,100.0
media;carControl,1,7.14,0.0,0.0,100.0
weather,1,0.0,100.0,0.0,100.0
vehicleInfo,1,0.0,100.0,0.0,100.0
